$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py
  try_ttsize.py    compiled  15.3s   222 plies legal   34.5s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_lmrhist.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +17 =13 -10  elo +61 +/- 114  LLR +0.40  (2 min)
     80 games  +30 =26 -24  elo +26 +/- 78  LLR +0.32  (2 min)
    120 games  +46 =32 -42  elo +12 +/- 63  LLR +0.18  (3 min)
    160 games  +59 =48 -53  elo +13 +/- 54  LLR +0.28  (4 min)
    200 games  +74 =57 -69  elo +9 +/- 48  LLR +0.22  (4 min)
    240 games  +89 =69 -82  elo +10 +/- 44  LLR +0.31  (5 min)
    280 games  +102 =81 -97  elo +6 +/- 41  LLR +0.20  (6 min)
    320 games  +114 =94 -112  elo +2 +/- 38  LLR +0.03  (6 min)
    360 games  +125 =107 -128  elo -3 +/- 36  LLR -0.24  (7 min)
    400 games  +138 =121 -141  elo -3 +/- 34  LLR -0.25  (7 min)
    440 games  +155 =137 -148  elo +6 +/- 33  LLR +0.28  (8 min)
    480 games  +170 =152 -158  elo +9 +/- 31  LLR +0.54  (9 min)
